"id","code","active","reconcile","arabic_name","include_initial_balance","deprecated","name","location","note","security","internal_type","user_type_id/id","type","parent_id/id","debit_credit"
"account_account_6","1","True","False","أصول متداوله","False","False","Current assets","temp","","False","view","account_account_type_60","view","","temp"
"account_account_7","1","True","False","النقديه والبنوك","False","False","Bank And cash accounts","temp","","False","view","account_account_type_60","view","account_account_6","temp"
"account_account_8","1","True","False","البنوك","False","False","Banks","temp","","False","view","account_account_type_60","view","account_account_7","temp"
"account_account_9","001","True","False","بنك الراجحى","True","False","Rajhi bank","current_asset","","False","liquidity","account.data_account_type_liquidity","liquidity","account_account_8","debit"
"account_account_10","002","True","False","البنك الأهلى","True","False","Ahli Banks","current_asset","","False","liquidity","account.data_account_type_liquidity","liquidity","account_account_8","debit"
"account_account_11","2","True","False","النقديه","False","False","cash","temp","","False","view","account_account_type_60","view","account_account_7","temp"
"account_account_12","001","True","False","عهدة عصام","True","False","Essam Cash","current_asset","","False","liquidity","account.data_account_type_liquidity","liquidity","account_account_11","debit"
"account_account_13","2","True","False","ذمم مدينون","False","False","Receivables","temp","","False","view","account_account_type_60","view","account_account_6","temp"
"account_account_14","001","True","True","ذمم مدينون","True","False","Receivables","","","False","receivable","account.data_account_type_receivable","receivable","account_account_13",""
"account_account_15","3","True","False","مخازن","False","False","warehouse","temp","","False","view","account_account_type_60","view","account_account_6","temp"
"account_account_16","001","True","False","مخزن الرياض","True","False","Riyadh warehouse","current_asset","","False","other","account_account.data_account_type_Warehouse","other","account_account_15","debit"
"account_account_17","002","True","False","مخزن جده","True","False","Jeddah warehouse","current_asset","","False","other","account_account.data_account_type_Warehouse","other","account_account_15","debit"
"account_account_18","003","True","False","بضاعه وارده فى الطريق","True","False","Incoming shipmment","current_asset","","False","other","account_account.data_account_type_Warehouse","other","account_account_15","debit"
"account_account_19","004","True","False","بضاعه مرسله فى الطريق","True","False","Outgoing shipments","current_asset","","False","other","account_account.data_account_type_Warehouse","other","account_account_15","debit"
"account_account_20","2","True","False","أصول غير متداوله","False","False","Non-Current Assets","temp","","False","view","account_account_type_60","view","","temp"
"account_account_21","1","True","False","سيارات","False","False","Cars ","temp","","False","view","account_account_type_60","view","account_account_20","temp"
"account_account_23","001","True","True","سياره ا ب ت 1234","True","False","سياره ا ب ت 1234","non_current_asset","","False","other","account_account.data_account_type_Cars","other","account_account_21","debit"
"account_account_24","3","True","False","التزامات متداوله","False","False","Current liabilities","temp","","False","view","account_account_type_60","view","","temp"
"account_account_26","4","True","False","التزامات غير متداوله","False","False","non-current Liabilities","temp","","False","view","account_account_type_60","view","","temp"
"account_account_27","5","True","False","رأس المال","False","False","Capital","temp","","False","view","account_account_type_60","view","","temp"
"account_account_28","6","True","False","الايرادات","False","False","Income","temp","","False","view","account_account_type_60","view","","temp"
"account_account_29","7","True","False","المصروفات","False","False","Expenses","temp","","False","view","account_account_type_60","view","","temp"
"account_account_30","1","True","False","مدفوعات وذمم دائنة","False","False","Payables","temp","","False","view","account_account_type_60","view","account_account_24","temp"
"account_account_31","001","True","True","مدفوعات الموردين","True","False","Suppliers payables","current_asset","","False","payable","account_account.data_account_type_Accounts_Payable","payable","account_account_30","credit"
"account_account_32","001","True","False","ايرادات المبيعات","False","False","sales revenue","income","","False","other","account.data_account_type_revenue","other","account_account_28","credit"
"account_account_33","001","True","False","تكلفة البضاعه المباعه","False","False","Cost of goods sold","expense","","False","other","account.data_account_type_direct_costs","other","account_account_29","debit"